lemma;lemma-href;;
anacreontisch-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00541.php;Klik;
anacrusis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03396.php;Klik;
anadiplosis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04933.php;Klik;
anafoor-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01999.php;Klik;
anafoor-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02000.php;Klik;
anafora;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01999.php;Klik;
anaglyptografie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00422.php;Klik;
anagnorisis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00120.php;Klik;
anagram;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03398.php;Klik;
anakoinosis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05170.php;Klik;
anakoloet;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02001.php;Klik;
analecta;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00725.php;Klik;
analepsis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00912.php;Klik;
analogie-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00542.php;Klik;
analogie-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00543.php;Klik;
analogiemetafoor;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04888.php;Klik;
analyse;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00726.php;Klik;
analytisch drama;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00727.php;Klik;
analytische bibliografie-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00150.php;Klik;
analytische bibliografie-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00151.php;Klik;
anamnese;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03290.php;Klik;
anapest;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02002.php;Klik;
anaptyxis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02211.php;Klik;
anasta(l)tische uitgave;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01708.php;Klik;
anastrofe;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03399.php;Klik;
anathema;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04328.php;Klik;
anatopisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05173.php;Klik;
anceps;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03400.php;Klik;
Anciens et Modernes;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03401.php;Klik;
Andere Wereld;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00153.php;Klik;
anekdote;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00637.php;Klik;
anekdotenbiografie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00154.php;Klik;
anglicisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05174.php;Klik;
angry young men;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00025.php;Klik;
animalisatie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04817.php;Klik;
anisometrie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04569.php;Klik;
Ankunftsliteratur;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03402.php;Klik;
annalen-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00155.php;Klik;
annalen-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00156.php;Klik;
annominatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05175.php;Klik;
annotatie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00158.php;Klik;
anoniem;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03291.php;Klik;
anopistografisch;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00257.php;Klik;
antagonist;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00728.php;Klik;
antanaclasis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04954.php;Klik;
Anthologia Graeca;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05076.php;Klik;
anthologie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00159.php;Klik;
anthorisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05176.php;Klik;
anthypofora;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02289.php;Klik;
